,title,creator,checkouts,materialtype
48667,The long haul / by Jeff Kinney.,"Kinney, Jeff",76,BOOK
28275,Fly Guy's big family / Tedd Arnold.,"Arnold, Tedd",75,BOOK
44104,Knuffle Bunny too : a case of mistaken identity / by Mo Willems.,"Willems, Mo",73,BOOK
34026,Watch me throw the ball! / by Mo Willems.,"Willems, Mo",71,BOOK
14917,The return of Zita the spacegirl / Ben Hatke.,"Hatke, Ben",71,BOOK
42018,Uncommon type : some stories / Tom Hanks ; photographs by Kevin Twomey.,"Hanks, Tom",69,BOOK
35654,My friend is sad / by Mo Willems.,"Willems, Mo",69,BOOK
15586,Super Fly Guy / Tedd Arnold.,"Arnold, Tedd",68,BOOK
36593,Garfield listens to his gut / by Jim Davis.,"Davis, Jim, 1945 July 28-",67,BOOK
44326,I love my white shoes / story by Eric Litwin (aka Mr. Eric) ; art by James Dean.,"Litwin, Eric",67,BOOK
36202,I am invited to a party! / by Mo Willems.,"Willems, Mo",67,BOOK
10486,Uncataloged Folder or Bag--CAP,,64,BOOK
5600,Legends of Zita the spacegirl / Ben Hatke.,"Hatke, Ben",64,BOOK
26872,Mighty Jack and the Goblin King / Ben Hatke ; color by Alex Campbell and Hilary Sycamore.,"Hatke, Ben",63,BOOK
48677,Green eggs and ham / by Dr. Seuss [pseudonym],"Seuss, Dr.",62,BOOK
14851,The adventures of Captain Underpants / the first epic novel by Dav Pilkey ; with color by Jose Garibaldi.,"Pilkey, Dav, 1966-",62,BOOK
5690,"Hilo. Book 3, The great big boom / by Judd Winick ; color by Steve Hamaker.","Winick, Judd",61,BOOK
26048,"Comics Squad : detention! / edited by Jennifer L. Holm, Matthew Holm & Jarrett J. Krosoczka.",,61,BOOK
7374,Bad kitty gets a bath / Nick Bruel.,"Bruel, Nick",60,BOOK
16035,"Amulet. Book two, The stonekeeper's curse / Kazu Kibuishi.","Kibuishi, Kazu, 1978-",60,BOOK
7641,Olivia / written and illustrated by Ian Falconer.,"Falconer, Ian, 1959-",59,BOOK
21771,Captain Underpants and the wrath of the wicked Wedgie Woman : the fifth epic novel / by Dav Pilkey.,"Pilkey, Dav, 1966-",59,BOOK
2464,The grave's a fine and private place / Alan Bradley.,"Bradley, C. Alan, 1938-",58,BOOK
30640,The wizard's wand : the ninth adventure in the Kingdom of Fantasy / Geronimo Stilton ; [translated by Julia Heim].,"Stilton, Geronimo",58,BOOK
32017,Big Nate and friends / by Lincoln Peirce.,"Peirce, Lincoln",58,BOOK
39714,Uncataloged Folder or Bag--BRO,,58,BOOK
20632,Captain Underpants and the revolting revenge of the radioactive robo-boxers : the tenth epic novel / by Dav Pilkey.,"Pilkey, Dav, 1966-",57,BOOK
5901,The day the crayons quit / Drew Daywalt ; illustrated by Oliver Jeffers.,"Daywalt, Drew",57,BOOK
22893,After the fall : how Humpty Dumpty got back up again / a story by Dan Santat.,"Santat, Dan",57,BOOK
48359,Phoebe and her unicorn : a heavenly nostrils chronicle / [Dana Simpson].,"Simpson, Dana, 1977-",57,BOOK
2274,Sapiens : a brief history of humankind / Yuval Noah Harari.,"Harari, Yuval N.",56,BOOK
47938,Grant / Ron Chernow.,"Chernow, Ron",56,BOOK
48080,The journey to Atlantis / [text by] Thea Stilton ; [illustrations by Barbara Pellizzari and Chiara Balleello],"Stilton, Thea",55,BOOK
24357,Hi! Fly Guy / Tedd Arnold.,"Arnold, Tedd",55,BOOK
37559,We are never meeting in real life : essays / Samantha Irby.,"Irby, Samantha",54,BOOK
39174,Big Nate : a good old-fashioned wedgie / by Lincoln Peirce.,"Peirce, Lincoln",54,BOOK
19122,Seattle walks : discovering history and nature in the city / David B. Williams.,"Williams, David B., 1965-",54,BOOK
45431,Howl's moving castle / Diana Wynne Jones.,"Jones, Diana Wynne",53,BOOK
32359,The amazing voyage : the third adventure in the Kingdom of Fantasy / Geronimo Stilton ; [illustrations by Danilo Barozzi ... [and others].,"Stilton, Geronimo",53,BOOK
22560,Big Nate. In the zone / Lincoln Peirce.,"Peirce, Lincoln",53,BOOK
24685,Tales from a not-so-graceful ice princess / Rachel Renee Russell.,"Russell, Rachel Renée",52,BOOK
18020,Garfield lard of the jungle / by Jim Davis.,"Davis, Jim, 1945 July 28-",52,BOOK
34047,Cabin fever / by Jeff Kinney.,"Kinney, Jeff",52,BOOK
43542,"Shoo, Fly Guy! / Tedd Arnold.","Arnold, Tedd",51,BOOK
13891,The dry / Jane Harper.,"Harper, Jane (Jane Elizabeth)",51,BOOK
42357,Sleep no more : six murderous tales / P.D. James ; foreword by Peter Kemp.,"James, P. D.",50,BOOK
14653,Dog Man and Cat Kid / written and illustrated by Dav Pilkey as George Beard and Harold Hutchins ; with color by Jose Garibaldi.,"Pilkey, Dav, 1966-",49,BOOK
13842,Garfield eats his heart out / by Jim Davis.,"Davis, Jim, 1945 July 28-",49,BOOK
43695,"Babymouse. [4], Rock star / by Jennifer Holm & Matthew Holm.","Holm, Jennifer L.",48,BOOK
20782,Pete the cat and the lost tooth / by James Dean.,"Dean, James, 1957-",48,BOOK
27459,"The wolf, the duck & the mouse / written by Mac Barnett ; illustrated by Jon Klassen.","Barnett, Mac",48,BOOK
47340,"Garfield, life to the fullest / by Jim Davis.","Davis, Jim, 1945 July 28-",47,BOOK
18971,"What's your sound, Hound the Hound? / by Mo Willems.","Willems, Mo",47,BOOK
37306,L'appart : the delights and disasters of making my Paris home / David Lebovitz.,"Lebovitz, David",46,BOOK
27503,"Amulet. Book Five, Prince of the elves / Kazu Kibuishi.","Kibuishi, Kazu, 1978-",46,BOOK
33548,"Bluebird, bluebird : a novel / Attica Locke.","Locke, Attica",45,BOOK
23746,"Babymouse. [6], Camp Babymouse / by Jennifer L. Holm & Matthew Holm.","Holm, Jennifer L.",44,BOOK
30331,Ten apples up on top! By Theo. LeSieg. Illustrated by Roy McKie.,"LeSieg, Theo., 1904-1991",44,BOOK
8084,"Babymouse. [1], Queen of the world! / by Jennifer L. Holm and Matthew Holm.","Holm, Jennifer L.",44,BOOK
26215,Super cat speed! / adapted by Cala Spinner.,"Spinner, Cala",44,BOOK
47694,Geronimo Stilton. The hunt for the hundredth key : plus a bonus mini mystery and cheesy jokes! / Geronimo Stilton ; translated by Anna Pizzelli and Andrea Schaffer.,"Stilton, Geronimo",44,BOOK
21696,Camino Island / John Grisham.,"Grisham, John",44,BOOK
14757,Back in time : the second journey through time / Geronimo Stilton ; illustrations by Danilo Barozzi [and 8 others] ; translated by Julia Heim.,"Stilton, Geronimo",44,BOOK
37735,Captain Underpants and the tyrannical retaliation of the Turbo Toilet 2000 / the eleventh epic novel by Dav Pilkey.,"Pilkey, Dav, 1966-",44,BOOK
36351,Sir Pete the Brave / by James Dean.,"Dean, James, 1957-",43,BOOK
2720,"Babymouse. [10], The musical / by Jennifer L. Holm & Matthew Holm.","Holm, Jennifer L.",43,BOOK
17663,Your pal Mo Willems presents Leonardo the terrible monster / [text and illustrations by Mo Willems].,"Willems, Mo",43,BOOK
18247,Lunch Lady and the video game villain / Jarrett J. Krosoczka.,"Krosoczka, Jarrett",43,BOOK
9721,"Squish. [No. 7], Deadly disease of doom / by Jennifer L. Holm and Matthew Holm.","Holm, Jennifer L.",42,BOOK
36966,Nomadland : surviving America in the twenty-first century / Jessica Bruder.,"Bruder, Jessica",42,BOOK
25686,The Berenstain Bears' big machines / Mike Berenstain ; based on the characters created by Stan and Jan Berenstain.,"Berenstain, Mike, 1951-",42,BOOK
42969,Dawn and the impossible three : a graphic novel / by Gale Galligan.,"Galligan, Gale",42,BOOK
14749,We're all wonders / written and illustrated by R.J. Palacio.,"Palacio, R. J.",42,BOOK
10170,Are you my mother? Written and illustrated by P. D. Eastman.,"Eastman, P. D. (Philip D.)",42,BOOK
23699,"Tales from a not-so-perfect pet sitter / Rachel Renée Russell, with Nikki Russell and Erin Russell.","Russell, Rachel Renée",42,BOOK
47894,Once upon an alphabet / Oliver Jeffers.,"Jeffers, Oliver",41,BOOK
34826,The bright hour : a memoir of living and dying / Nina Riggs.,"Riggs, Nina",41,BOOK
46214,The three-body problem / Cixin Liu ; translated by Ken Liu.,"Liu, Cixin",41,BOOK
21196,The best ball / adapted by Ruth Homberg ; illustrated by the Disney Storybook Art Team.,"Homberg, Ruth",40,BOOK
15898,"Comics Squad : lunch! / edited by Jennifer Holm, Matthew Holm & Jarrett J. Krosoczka ; comics by Cece Bell, Jeffrey Brown, Cecil Castellucci & Sara Varon, Nathan Hale, Jennifer L. Holm & Matthew Holm, Jarrett J. Krosoczka, Peanuts, Jason Shiga.",,40,BOOK
21821,Cherry blossom / by Victoria Kann.,"Kann, Victoria",40,BOOK
42929,Rabbit & Robot and Ribbit / Cece Bell.,"Bell, Cece",40,BOOK
9077,The cookie fiasco / by Dan Santat.,"Santat, Dan",40,BOOK
45965,Harry Potter and the chamber of secrets / by J.K. Rowling ; illustrations by Mary Grandpre.,"Rowling, J. K.",39,BOOK
6019,The race against time : the third journey through time / Geronimo Stilton ; illustrations by Danilo Barozzi and Silvia Bigolin ; translated by Julia Heim.,"Stilton, Geronimo",38,BOOK
27162,The midnight line / Lee Child.,"Child, Lee",38,BOOK
17852,Bobby Kennedy : a raging spirit / Chris Matthews.,"Matthews, Christopher, 1945-",38,BOOK
37895,The Princess in Black and the perfect princess party / Shannon Hale & Dean Hale ; illustrated by LeUyen Pham.,"Hale, Shannon",38,BOOK
19049,The cat in the hat / by Dr. Seuss.,"Seuss, Dr.",38,BOOK
44275,Pete the Cat. Pete at the beach / created by James Dean.,,38,BOOK
27480,The very hungry caterpillar / by Eric Carle.,"Carle, Eric",38,BOOK
24908,The Nordic theory of everything : in search of a better life / Anu Partanen.,"Partanen, Anu",38,BOOK
21689,Dragonbreath / by Ursula Vernon.,"Vernon, Ursula",37,BOOK
29930,Quest for the heart / by Susan Amerikaner ; illustrated by the Disney Storybook Art Team.,"Amerikaner, Susan",37,BOOK
43378,Devotions : the selected poems of Mary Oliver / Mary Oliver.,"Oliver, Mary, 1935-",37,BOOK
20904,Blueberries for Sal.,"McCloskey, Robert, 1914-2003",36,BOOK
35284,The people we hate at the wedding / Grant Ginder.,"Ginder, Grant",36,BOOK
43851,The lying game / Ruth Ware.,"Ware, Ruth",36,BOOK
33407,Charlie and the chocolate factory / Roald Dahl ; illustrated by Quentin Blake.,"Dahl, Roald",36,BOOK
46885,The volcano of fire : the fifth adventure in the Kingdom of Fantasy / Geronimo Stilton.,"Stilton, Geronimo",36,BOOK
47589,Six seasons : a new way with vegetables / Joshua McFadden with Martha Holmberg ; foreword by Barbara Damrosch and Eliot Coleman.,"McFadden, Joshua",36,BOOK
49995,Refugee / Alan Gratz.,"Gratz, Alan, 1972-",36,BOOK
17531,Let's say hi to friends who fly! / by Mo Willems.,"Willems, Mo",35,BOOK
39662,Time for puppy school / by Jane O'Connor ; cover illustration by Robin Preiss Glasser ; interior illustrations by Ted Enik.,"O'Connor, Jane",35,BOOK
14935,"Cleopatra in space. Book three, Secret of the time tablets / Mike Maihack.","Maihack, Mike",35,BOOK
36458,Sleeping beauties : a novel / Stephen King and Owen King.,"King, Stephen, 1947-",35,BOOK
7675,"The Sneetches, and other stories. / Written and illustrated by Dr. Seuss.","Seuss, Dr.",35,BOOK
18535,Nanette's baguette / words and pictures by Mo Willems.,"Willems, Mo",35,BOOK
41780,Bad kitty meets the baby / Nick Bruel.,"Bruel, Nick",35,BOOK
26315,Tales from a not-so-friendly frenemy / Rachel Renée Russell ; with Nikki Russell and Erin Russell.,"Russell, Rachel Renée",35,BOOK
44656,La la la / Kate DiCamillo ; a story of hope illustrated by Jaime Kim.,"DiCamillo, Kate",34,BOOK
16840,The good for nothing button / by Charise Mericle Harper.,"Harper, Charise Mericle",34,BOOK
40765,We were eight years in power : an American tragedy / Ta-Nehisi Coates.,"Coates, Ta-Nehisi",34,BOOK
30076,Bear snores on / Karma Wilson ; illustrations by Jane Chapman.,"Wilson, Karma",34,BOOK
38808,The Berenstain Bears : we love soccer! / Mike Berenstain.,"Berenstain, Mike, 1951-",33,BOOK
22351,Bubble trouble! / by Mary Tillworth ; illustrations by Kevin Kobasic.,"Tillworth, Mary",33,BOOK
45369,Cooking with the Grinch / by Tish Rabe ; illustrations by Tom Brannon.,"Rabe, Tish",33,BOOK
26009,The Berenstain Bears in the dark / Stan & Jan Berenstain.,"Berenstain, Stan, 1923-2005,",33,BOOK
40395,Horses to the rescue / adapted by Devin Ann Wooster ; based on the screenplay by Amy Wolfram and Kacey Arnold ; illustrated by Patrick Ian Moss and The Artful Doodlers.,"Wooster, Devin Ann",33,BOOK
38849,"The Berenstain Bears' big bedtime book / Stan & Jan Berenstain, with Mike Berenstain.","Berenstain, Stan, 1923-2005",33,BOOK
12092,"Happy birthday, princess! / by Jennifer Liberts ; illustrated by Elisa Marrucchi.","Weinberg, Jennifer, 1970-",33,BOOK
22772,What do you do with an idea? / written by Kobi Yamada ; illustrated by Mae Besom ; designed by Sarah Forster ; edited by M.H. Clark & Amelia Riedler ; creative direction by Julie Flahiff.,"Yamada, Kobi",32,BOOK
25288,Let's pick apples! / by Kristen L. Depken ; illustrated by Dynamo Limited.,"Depken, Kristen L.",32,BOOK
17958,The idiot / Elif Batuman.,"Batuman, Elif, 1977-",32,BOOK
48060,Harry Potter and the half-blood prince / by J.K. Rowling ; illustrations by Mary GrandPré.,"Rowling, J. K.",32,BOOK
27798,Sesame Street 5-minute stories / cover illustration by Joe Mathieu.,,32,BOOK
49151,Oh say can you say? / By Dr. Seuss.,"Seuss, Dr.",32,BOOK
44253,IQ / Joe Ide.,"Ide, Joe",32,BOOK
786,"Tools of titans : the tactics, routines, and habits of billionaires, icons, and world-class performers / Tim Ferriss ; foreword by Arnold Schwarzenegger ; illustrations by Remie Geoffroi.","Ferriss, Timothy",32,BOOK
48498,Thomas' tall friend.,,32,BOOK
46285,Meanwhile / Jason Shiga.,"Shiga, Jason",32,BOOK
23188,Pete the Cat : scuba-cat / by James Dean.,"Dean, James, 1957-",32,BOOK
38030,Did I ever tell you how lucky you are?,"Seuss, Dr.",32,BOOK
9713,Harry Potter and the prisoner of Azkaban / J.K. Rowling ; illustrated by Jim Kay.,"Rowling, J. K.",31,BOOK
14046,How do dinosaurs stay friends? / Jane Yolen ; illustrated by Mark Teague.,"Yolen, Jane",31,BOOK
46989,I am not going to get up today! / by Dr. Seuss ; illustrated by James Stevenson.,"Seuss, Dr.",31,BOOK
27025,My absolute darling / Gabriel Tallent.,"Tallent, Gabriel",30,BOOK
44249,"Ms. Marvel. [Vol. 8, Mecca] / writer, G. Willow Wilson ; artists, Marco Failla (#19-22) & Diego Oloretgui (#23-24) ; color artist, Ian Herring ; letters, VC's Joe Caramagna (#19, #21-24) & Travis Lanham (#20).","Wilson, G. Willow, 1982-",30,BOOK
2826,Instant Pot electric pressure cooker cookbook : quick & easy recipes for everyday eating / Sara Quessenberry & Kate Merker.,"Quessenberry, Sara",30,BOOK
49621,Meet the pets / by Mary Man-Kong.,"Man-Kong, Mary",30,BOOK
44210,Priestdaddy / Patricia Lockwood.,"Lockwood, Patricia",30,BOOK
40784,"I have a dream / Martin Luther King, Jr. ; paintings by Kadir Nelson.","King, Martin Luther, Jr., 1929-1968",30,BOOK
12600,Sam & Dave dig a hole / Mac Barnett ; illustrated by Jon Klassen.,"Barnett, Mac",30,BOOK
1897,Fates and furies / Lauren Groff.,"Groff, Lauren",30,BOOK
13570,Waiting / Kevin Henkes.,"Henkes, Kevin",30,BOOK
15421,Garfield keeps his chins up / by Jim Davis.,"Davis, Jim, 1945 July 28-",30,BOOK
27317,The hidden oracle / Rick Riordan.,"Riordan, Rick",30,BOOK
7439,"Avatar, the last airbender. The promise. Part three / script, Gene Luen Yang ; art and cover, Gurihiru ; lettering, Michael Heisler.","Yang, Gene Luen",30,BOOK
7394,Drop the beat! / by David Lewman ; illustrated by Fabio Laguna and Gabriella Matta.,"Lewman, David",30,BOOK
10013,Ruby Valentine saves the day / Laurie B. Friedman ; illustrated by Lynne Avril.,"Friedman, Laurie B., 1964-",29,BOOK
26867,Big Nate. The crowd goes wild! / by Lincoln Peirce.,"Peirce, Lincoln",29,BOOK
23942,You don't have to say you love me : a memoir / Sherman Alexie.,"Alexie, Sherman, 1966-",29,BOOK
2351,Hour of the Olympics / by Mary Pope Osborne ; illustrated by Sal Murdocca.,"Osborne, Mary Pope",29,BOOK
8564,The warmth of other suns : the epic story of America's great migration / Isabel Wilkerson.,"Wilkerson, Isabel",29,BOOK
44612,This moose belongs to me / Oliver Jeffers.,"Jeffers, Oliver",29,BOOK
1411,The year of magical thinking / Joan Didion.,"Didion, Joan",29,BOOK
7991,The Berenstain bears go to the doctor / Stan & Jan Berenstain.,"Berenstain, Stan, 1923-2005,",29,BOOK
3698,A royal spring / by Kristen L. Depken ; illustrated by Fabio Laguna and Marco Colletti.,"Depken, Kristen L.",29,BOOK
4600,When's my birthday? / Julie Fogliano ; Christian Robinson.,"Fogliano, Julie",29,BOOK
16051,Little Chipper / by Sindy McKay ; illustrated by Sydney Hanson.,"McKay, Sindy",29,BOOK
37790,On tyranny : twenty lessons from the twentieth century / Timothy Snyder.,"Snyder, Timothy",29,BOOK
1329,Ivy + Bean / written by Annie Barrows ; illustrated by Sophie Blackall.,"Barrows, Annie",29,BOOK
12801,Babymouse goes for the gold / by Jennifer L. Holm & Matthew Holm.,"Holm, Jennifer L.",29,BOOK
45972,Better than before : mastering the habits of our everyday lives / Gretchen Rubin.,"Rubin, Gretchen",29,BOOK
4503,Garfield spills the beans / by Jim Davis.,"Davis, Jim, 1945 July 28-",29,BOOK
39303,The dark prophecy / Rick Riordan.,"Riordan, Rick",28,BOOK
44592,Amelia Bedelia takes the cake / by Herman Parish ; pictures by Lynne Avril.,"Parish, Herman",28,BOOK
6895,The adventures of Ook and Gluk : Kung-fu cavemen from the future / by George Beard and Harold Hutchins ; [Dav Pilkey].,"Beard, George, 1966-",28,BOOK
2940,"The hobbit, or, There and back again / J.R.R. Tolkien.","Tolkien, J. R. R. (John Ronald Reuel), 1892-1973",28,BOOK
34205,Stop the stone monsters! / written by Helen Murray.,"Murray, Helen (Senior editor)",28,BOOK
9552,Frog and toad all year / by Arnold Lobel.,"Lobel, Arnold",28,BOOK
22674,Margret & H.A. Rey's Curious George and the firefighters / illustrated in the style of H.A. Rey by Anna Grossnickle Hines.,,28,BOOK
36665,Harry Potter and the Order of the Phoenix / by J.K. Rowling ; illustrations by Mary Grandpré.,"Rowling, J. K.",28,BOOK
3743,Thomas at the steelworks ; Friends to the rescue! / based on the original script by Andrew Brenner ; illustrated by Tommy Stubbs ; created by Britt Allcroft.,,28,BOOK
14168,"Babymouse. [18], Happy birthday, Babymouse! / by Jennifer L. Holm & Matthew Holm.","Holm, Jennifer L.",28,BOOK
27782,The stone sky / N.K. Jemisin.,"Jemisin, N. K.",27,BOOK
39655,Super agents / adapted by Melissa Lagonegro ; based on the screenplay by Marsha Griffin and Kacey Arnold ; illustrated by Ulkutay Design Group.,"Lagonegro, Melissa",27,BOOK
43565,"The water will come : rising seas, sinking cities, and the remaking of the civilized world / Jeff Goodell.","Goodell, Jeff",27,BOOK
3767,House of spies / Daniel Silva.,"Silva, Daniel, 1960-",27,BOOK
37823,The ninth hour / Alice McDermott.,"McDermott, Alice",27,BOOK
17640,The undoing project : a friendship that changed our minds / Michael Lewis.,"Lewis, Michael (Michael M.)",27,BOOK
8934,"Star Wars : absolutely everything you need to know / written by Adam Bray, Kerrie Dougherty, Cole Horton, and Michael Kogge.","Bray, Adam",27,BOOK
35295,The girls in the picture : a novel / Melanie Benjamin.,"Benjamin, Melanie, 1962-",27,BOOK
6949,The force awakens / written by David Fentiman.,"Fentiman, David",27,BOOK
26884,Secret coders. Paths & portals / Gene Luen Yang & Mike Holmes.,"Yang, Gene Luen",26,BOOK
11231,"The big book of Paleo slow cooking : 200 nourishing recipes that cook carefree, for everyday dinners and weekend feasts / Natalie Perry.","Perry, Natalie,",26,BOOK
12277,Froggy gets dressed / by Jonathan London ; illustrated by Frank Remkiewicz.,"London, Jonathan, 1947-",26,BOOK
37278,A sick day for Amos McGee / written by Philip C. Stead ; illustrated by Erin E. Stead.,"Stead, Philip Christian",26,BOOK
23490,The whole30 cookbook : 150 delicious and totally compliant recipes to help you succeed with the Whole30 and beyond / Melissa Hartwig ; photography by Brent Herrig.,"Hartwig, Melissa",26,BOOK
20756,Tasty latest & greatest : everything you want to cook right now.,,26,BOOK
29250,The fix / David Baldacci.,"Baldacci, David",26,BOOK
18262,Harold and the purple crayon / by Crockett Johnson [pseud.,"Johnson, Crockett, 1906-1975",26,BOOK
35323,"Happy birthday, bad kitty / Nick Bruel.","Bruel, Nick",26,BOOK
38878,"The secret life of fat : the science behind the body's least understood organ and what it means for you / Sylvia Tara, PhD.","Tara, Sylvia",26,BOOK
3368,The shy little kitten / by Kristen Depken ; illustrated by Sue DiCicco.,"Depken, Kristen L.",25,BOOK
10940,"Babymouse, [13], Cupcake tycoon / by Jennifer L. Holm & Matt Holm.","Holm, Jennifer L.",25,BOOK
36724,Here comes Valentine Cat / by Deborah Underwood ; pictures by Claudia Rueda.,"Underwood, Deborah",25,BOOK
34838,Tears we cannot stop : a sermon to white America / Michael Eric Dyson.,"Dyson, Michael Eric",25,BOOK
33329,When breath becomes air / Paul Kalanithi ; foreword by Abraham Verghese.,"Kalanithi, Paul",25,BOOK
33147,It's not easy being a bunny / by Marilyn Sadler ; illustrated by Roger Bollen.,"Sadler, Marilyn",25,BOOK
12292,Thank you for being late : an optimist's guide to thriving in the age of accelerations / Thomas L. Friedman.,"Friedman, Thomas L.",25,BOOK
25416,Peppa Pig. Peppa's Valentine's Day / adapted by Courtney Carbone.,,25,BOOK
29593,The red pyramid : the graphic novel / Rick Riordan ; adapted by Orpheus Collar ; lettered by Jared Fletcher.,"Collar, Orpheus",25,BOOK
24507,The gentleman's guide to vice and virtue / Mackenzi Lee.,"Lee, Mackenzi",25,BOOK
40646,Rabbit & Robot : the sleepover / Cece Bell.,"Bell, Cece",25,BOOK
49122,"Babymouse. [11], Dragonslayer / by Jennifer L. Holm & Matthew Holm.","Holm, Jennifer L.",25,BOOK
28328,I had trouble in getting to Solla Sollew / by Dr. Seuss.,"Seuss, Dr.",25,BOOK
23836,The sun is also a star / Nicola Yoon.,"Yoon, Nicola",25,BOOK
18608,"Love / author, Matt de la Peña ; illustrator, Loren Long.","de la Peña, Matt",25,BOOK
9174,Wet pet / by Harriet Ziefert ; illustrated by Yukiko Kido.,"Ziefert, Harriet",25,BOOK
14885,Bravetart : iconic American desserts / Stella Parks ; foreword by J. Kenji López-Alt ; photography by Penny De Los Santos.,"Parks, Stella",25,BOOK
11532,Mice skating / written by Annie Silvestro ; illustrated by Teagan White.,"Silvestro, Annie",24,BOOK
20938,"Avatar, the last airbender. Smoke and shadow, Part two / script, Gene Luen Yang ; art and cover, Gurihiru ; lettering, Michael Heisler.","Yang, Gene Luen",24,BOOK
1898,And to think that I saw it on Mulberry street / by Dr. Seuss.,"Seuss, Dr.",24,BOOK
11743,The girl in the tower : a novel / Katherine Arden.,"Arden, Katherine",24,BOOK
8285,"Alexander and the terrible, horrible, no good, very bad day. / Illustrated by Ray Cruz.","Viorst, Judith",24,BOOK
33808,Tartine all day : modern recipes for the home cook / Elisabeth Prueitt with Jessica Washburn and Maria Zizka ; photographs by Paige Green.,"Prueitt, Elisabeth M.",24,BOOK
17723,"Atlas obscura : an explorer's guide to the world's hidden wonders / Joshua Foer, Dyland Thuras & Ella Morton.","Foer, Joshua",24,BOOK
13904,The Berenstain Bears take off! / Mike Berenstain.,"Berenstain, Mike, 1951-",24,BOOK
2821,The city of brass / S. A. Chakraborty.,"Chakraborty, S. A.",24,BOOK
39239,I'm brave! / Kate & Jim McMullan.,"McMullan, Kate",24,BOOK
48816,The amazing world of Gumball after school special / created by Ben Bocquelet ; script[s] by Zachary Clemente [and eleven others] ; art by Andy Hirsch [and eleven others].,,24,BOOK
47630,Suee and the shadow / by Ginger Ly ; illustrated by Molly Park.,"Ly, Ginger",24,BOOK
29857,The god of small things / Arundhati Roy.,"Roy, Arundhati",24,BOOK
28206,Library book for bear / Bonny Becker ; illustrated by Kady MacDonald Denton.,"Becker, Bonny",24,BOOK
862,Over and under the snow / by Kate Messner ; with art by Christopher Silas Neal.,"Messner, Kate",24,BOOK
19111,The world of tomorrow / Brendan Mathews.,"Mathews, Brendan.",24,BOOK
25596,The castle crime / by Ron Roy ; illustrated by John Steven Gurney.,"Roy, Ron, 1940-",24,BOOK
26434,"Creepy carrots! / words, Aaron Reynolds ; pictures, Peter Brown.","Reynolds, Aaron, 1970-",23,BOOK
44359,Madeline's rescue / story and pictures by Ludwig Bemelmans.,"Bemelmans, Ludwig, 1898-1962",23,BOOK
32929,Just a baby bird / by Mercer Mayer.,"Mayer, Mercer, 1943-",23,BOOK
12854,Graveyard shakes / Laura Terry.,"Terry, Laura",23,BOOK
